id,manufacturer,model,model_year,price,category,fuel_economy_city,fuel_economy_city_units,fuel_economy_highway,fuel_economy_highway_units,gas_fuel_economy_city,gas_fuel_economy_highway,fuel,engine_type,engine_size,tot_sales,units
42,Porsche,Panamera S E-Hybrid,2016,81346,Sedan/Wagon,51,Mpge Combined Gas + Electric,NA,,23,29,Plug-in Hybrid Electric,Hybrid,3,1337,Liter
43,Smart,fortwo,2016,14650,Sedan/Wagon,122,Mpge,93,Mpge,NA,NA,Electric,Electric,55,5041,KWh
44,Subaru,XV Crosstrek Hybrid,2016,21595,SUV,30,mpg,34,mpg,NA,NA,Hybrid Electric,Hybrid,2,5589,Liter
45,Tesla,Model S,2016,76200,Sedan/Wagon,88,Mpge,90,Mpge,NA,NA,Electric,Electric,285,64121,KWh
46,Tesla,Model S AWD,2016,85500,Sedan/Wagon,95,Mpge,106,Mpge,NA,NA,Electric,Electric,318,64121,KWh
47,Tesla,Model X AWD 90D,2016,132000,SUV,90,Mpge,94,Mpge,NA,NA,Electric,Electric,193,208,KWh
48,Tesla,Model X AWD P90D,2016,144000,SUV,89,Mpge,90,Mpge,NA,NA,Electric,Electric,284,208,KWh
49,Toyota,Avalon,2016,32650,Sedan/Wagon,NA,,NA,,NA,NA,Hybrid Electric,Hybrid,2.5,339064,Liter
50,Toyota,Camry,2016,23070,Sedan/Wagon,43,mpg,39,mpg,NA,NA,Hybrid Electric,Hybrid,2.5,339064,Liter
51,Toyota,Highlander,2016,29990,SUV,NA,,NA,,NA,NA,Hybrid Electric,Hybrid,3.5,132685,Liter
52,Toyota,Prius,2016,24200,Sedan/Wagon,NA,,NA,,NA,NA,Hybrid Electric,Hybrid,1.8,1637959,Liter
53,Toyota,Prius c,2016,19560,Sedan/Wagon,NA,,NA,,NA,NA,Hybrid Electric,Hybrid,1.5,151871,Liter
54,Toyota,Prius Plug-in,2016,29990,Sedan/Wagon,NA,,NA,,NA,NA,Plug-in Hybrid Electric,Hybrid,1.8,42292,Liter
55,Toyota,Prius v,2016,26675,Sedan/Wagon,44,mpg,40,mpg,NA,NA,Hybrid Electric,Hybrid,1.8,122491,Liter
56,Toyota,RAV 4,2016,23680,SUV,NA,,NA,,NA,NA,Hybrid Electric,Hybrid,2.5,1494,Liter
57,Volkswagen,e-Golf,2016,18495,Sedan/Wagon,126,Mpge,105,Mpge,NA,NA,Electric,Electric,85,4589,KWh
58,Volkswagen,Jetta Hybrid,2016,31120,Sedan/Wagon,42,mpg,48,mpg,NA,NA,Hybrid Electric,Hybrid,1.4,8496,Liter
59,Volvo,XC90 T8 Plug-in Hybrid,2016,43950,Sedan/Wagon,NA,,NA,,NA,NA,Plug-in Hybrid Electric,Hybrid,2,46219,Liter
60,Audi,A3 e-tron,2015,30900,Sedan/Wagon,NA,,NA,,NA,NA,Plug-in Hybrid Electric,Hybrid,1.4,1504,Liter
62,BMW,ActiveHybrid 3,2015,50150,Sedan/Wagon,NA,,NA,,25,33,Hybrid Electric,Hybrid,3,771,Liter
64,BMW,ActiveHybrid 7,2015,84300,Sedan/Wagon,NA,,NA,,22,30,Hybrid Electric,Hybrid,3,771,Liter
66,BMW,i3 w/Range Extender,2015,46250,Sedan/Wagon,117,Mpge Gas + Electric,NA,NULL,NA,NA,Plug-in Hybrid Electric,Hybrid,0.6,965,Liter
67,BMW,i8,2015,140700,Sedan/Wagon,76,Mpge Gas + Electric,NA,,NA,NA,Plug-in Hybrid Electric,Hybrid,1.5,2820,Liter
79,Honda,Civic Hybrid,2015,NA,Sedan/Wagon,NA,,NA,,44,47,Hybrid Electric,Hybrid,1.5,234048,Liter
80,Honda,CR-Z,2015,NA,Sedan/Wagon,NA,,NA,,36,39,Hybrid Electric,Hybrid,1.5,31956,Liter
81,Hyundai,Sonota,2015,NA,Sedan/Wagon,NA,,NA,,36,40,Hybrid Electric,Hybrid,2.4,102946,Liter
83,Infiniti,Q50 Hybrid S FWD/AWD,2015,NA,Sedan/Wagon,NA,,26,28,29,36,Hybrid Electric,Hybrid,3.5,1504,Liter
89,Lexus,300h,2015,NA,Sedan/Wagon,NA,,NA,,40,39,Hybrid Electric,Hybrid,2.5,154235,Liter
94,Lexus,NX 300h,2015,NA,Sedan/Wagon,NA,,NA,,35,31,Hybrid Electric,Hybrid,2.5,154235,Liter
95,Lexus,RX 450h,2015,NA,SUV,NA,,NA,,32,28,Hybrid Electric,Hybrid,3.5,154235,Liter
98,Mercedes-Benz,B-Class Electric,2015,NA,Sedan/Wagon,85,Mpge,83,Mpge,NA,NA,Electric,Electric,132,2680,KWh
99,Mercedes-Benz,E400 Hybrid,2015,NA,Sedan/Wagon,NA,,NA,,24,30,Hybrid Electric,Hybrid,3.5,493,Liter
100,Mercedes-Benz,S550 Plug-in Hybrid,2015,NA,Sedan/Wagon,NA,NULL,NA,NULL,NA,NA,Plug-in Hybrid Electric,Hybrid,3,118,Liter
104,Porsche,918 Spyder,2015,NA,Sedan/Wagon,67,Mpge combined electricity,NA,NULL,20,24,Plug-in Hybrid Electric,Hybrid,4.6,4222,Liter
108,Subaru,XV Crosstrek,2015,NA,SUV,NA,,NA,,30,34,Hybrid Electric,Hybrid,2.5,5589,Liter
113,Toyota,Prius ,2015,NA,Sedan/Wagon,NA,,NA,,51,48,Hybrid Electric,Hybrid,1.8,1637959,Liter
119,Volkswagen,Touareg Hybrid,2015,NA,SUV,NA,,NA,,20,24,Hybrid Electric,Hybrid,3,8496,Liter
