ID,Category,Model,Price,Model Year,Manufacturer,Fuel,All Electric Range,Fuel Economy City,Fuel Economy City Units,Fuel Economy Highway,Fuel Economy Highway Units,Gas Fuel Economy City,Gas Fuel Economy Highway,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Description,Heavy-Duty Power System
100,Sedan/Wagon,S550 Plug-in Hybrid,,2015,Mercedes-Benz,Plug-in Hybrid Electric,,,NULL,,NULL,,,Auto,,,3,6,,,,
101,Sedan/Wagon,i-MiEV,,2015,Mitsubishi,Electric,,126,Mpge,99,Mpge,,,Auto,,e-motor,49 kW,,,,,
102,Sedan/Wagon,Leaf,,2015,Nissan,Electric,,126,Mpge,101,Mpge,,,Auto,,e-motor,80 kW,,,,,
103,SUV,Pathfinder Hybrid 2WD/AWD,,2015,Nissan,Hybrid Electric,,,,,,25,28,Auto,,SI,2.5,4,,,,
104,Sedan/Wagon,918 Spyder,,2015,Porsche,Plug-in Hybrid Electric,,67,Mpge combined electricity,,NULL,20,24,Auto,,SI,4.6L,8,,,,
105,SUV,Cayenne S E-Hybrid,,2015,Porsche,Plug-in Hybrid Electric,,47,Mpge combine electricity,,NULL,21,24,Auto,,SI,3.0L,6,,,,
106,Sedan/Wagon,Panamera S E-Hybrid,,2015,Porsche,Plug-in Hybrid Electric,,50,Mpge combined electricity,,NULL,23,29,Auto,,SI,3.0L,6,,,,
107,Sedan/Wagon,fortwo,,2015,Smart,Electric,,122,Mpge,93,Mpge,,,Auto,,e-motor,55 kW,,,,,
108,SUV,XV Crosstrek,,2015,Subaru,Hybrid Electric,,,,,,30,34,ECVT,,SI,2.5,4,,,,
109,Sedan/Wagon,Model S,,2015,Tesla,Electric,,94,Mpge,97,Mpge,,,Auto,,e-motor,300 kW,,,,,
110,Sedan/Wagon,Avalon,,2015,Toyota,Hybrid Electric,,,,,,40,39,ECVT,,SI,2.5,4,,,,
111,Sedan/Wagon,Camry,,2015,Toyota,Hybrid Electric,,,,,,43,39,ECVT,,SI,2.5,4,,,,
112,SUV,Highlander,,2015,Toyota,Hybrid Electric,,,,,,27,28,ECVT,,SI,3.5,5,,,,
113,Sedan/Wagon,Prius ,,2015,Toyota,Hybrid Electric,,,,,,51,48,ECVT,,SI,1.8,4,,,,
114,Sedan/Wagon,Prius c,,2015,Toyota,Hybrid Electric,,,,,,53,46,ECVT,,SI,1.5,4,,,,
115,Sedan/Wagon,Prius Plug-in,,2015,Toyota,Plug-in Hybrid Electric,,95,Mpge Gas + Electric,,,51,49,ECVT,,SI,1.8L,4,,,,
116,Sedan/Wagon,Prius v,,2015,Toyota,Hybrid Electric,,,,,,44,40,ECVT,,SI,1.8,4,,,,
117,Sedan/Wagon,e-Golf,,2015,Volkswagen,Electric,,,Mpge,,Mpge,,,Auto,,e-motor,85 kW,,,,,
118,Sedan/Wagon,Jetta Hybrid,,2015,Volkswagen,Hybrid Electric,,,,,,42,48,Auto,,SI,1.4,4,,,,
119,SUV,Touareg Hybrid,,2015,Volkswagen,Hybrid Electric,,,,,,20,24,Auto,,SI,3,6,,,,
